 "csubject" , "cnumber" , "cname" , "component" ,
 "INDU" , "6331" , "Advanced Quality Control" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "341" , "Software Process" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "341" , "Software Process" , "http://acad.io/schema#Tutorial" ,
 "LING" , "490" , "Honours Tutorial" , "http://acad.io/schema#Tutorial" ,
 "INSE" , "6421" , "Systems Integration and Testing" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6061" , "Analysis and Design of Hydraulic Control Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "312" , "Electronics II" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "312" , "Electronics II" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "312" , "Electronics II" , "http://acad.io/schema#Lab" ,
 "URBS" , "333" , "Urban Laboratory" , "http://acad.io/schema#Lecture" ,
 "URBS" , "333" , "Urban Laboratory" , "http://acad.io/schema#Lab" ,
 "COEN" , "313" , "Digital Systems Design II" , "http://acad.io/schema#Lecture" ,
 "COEN" , "313" , "Digital Systems Design II" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "313" , "Digital Systems Design II" , "http://acad.io/schema#Lab" ,
 "MECH" , "343" , "Theory of Machines" , "http://acad.io/schema#Lecture" ,
 "MECH" , "343" , "Theory of Machines" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "343" , "Theory of Machines" , "http://acad.io/schema#Lab" ,
 "COMP" , "476" , "Advanced Game Development" , "http://acad.io/schema#Lecture" ,
 "COMP" , "476" , "Advanced Game Development" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6221" , "Solid State Devices" , "http://acad.io/schema#Lecture" ,
 "COEN" , "6741" , "Computer Architecture and Design" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "451" , "Counselling Skills and Concepts" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6641" , "Two-dimensional Signal and Image Processing" , "http://acad.io/schema#Lecture" ,
 "MBA" , "642" , "Financial Reporting for Responsible Decision Making" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "555" , "Gestion de projets" , "http://acad.io/schema#Lecture" ,
 "FRAA" , "430" , "Stylistique avancée" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "6041" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "http://acad.io/schema#Lecture" ,
 "COEN" , "317" , "Microprocessor Systems" , "http://acad.io/schema#Lecture" ,
 "COEN" , "317" , "Microprocessor Systems" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "317" , "Microprocessor Systems" , "http://acad.io/schema#Lab" ,
 "CIVI" , "381" , "Hydraulics" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "381" , "Hydraulics" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "381" , "Hydraulics" , "http://acad.io/schema#Lab" ,
 "COEN" , "421" , "Embedded Systems Design" , "http://acad.io/schema#Lecture" ,
 "COEN" , "421" , "Embedded Systems Design" , "http://acad.io/schema#Lab" ,
 "CATA" , "262" , "Emergency Care in Sport and Exercise" , "http://acad.io/schema#Lecture" ,
 "CATA" , "262" , "Emergency Care in Sport and Exercise" , "http://acad.io/schema#Lab" ,
 "MSCA" , "611" , "Research Methodology" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "466" , "Introduction to Optical Communication Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "466" , "Introduction to Optical Communication Systems" , "http://acad.io/schema#Lab" ,
 "INSE" , "7120" , "Advanced Network Management" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6091" , "Flight Control Systems" , "http://acad.io/schema#Lecture" ,
 "ANTH" , "315" , "Field Research" , "http://acad.io/schema#Lecture" ,
 "STAT" , "499" , "Honours Project in Statistics" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "690" , "Management Consulting Project" , "http://acad.io/schema#Lecture" ,
 "FINA" , "471" , "International Financial Management" , "http://acad.io/schema#Lecture" ,
 "FINA" , "481" , "Management of Financial Institutions" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6951" , "Solar Building Modelling and Design" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "490" , "Capstone Electrical Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "MANA" , "499" , "Special Topics in Management" , "http://acad.io/schema#Lecture" ,
 "MECH" , "7011" , "Dynamics of Hydraulic Control Systems" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "218" , "Introductory Analytical Chemistry II" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "218" , "Introductory Analytical Chemistry II" , "http://acad.io/schema#Lab" ,
 "ARTX" , "280" , "Integrated Studio in Contemporary Art Practices I" , "http://acad.io/schema#Studio" ,
 "MECH" , "6231" , "Helicopter Flight Dynamics" , "http://acad.io/schema#Lecture" ,
 "MECH" , "423" , "Casting, Welding, Heat Treating, and Non-Destructive Testing" , "http://acad.io/schema#Lecture" ,
 "MECH" , "423" , "Casting, Welding, Heat Treating, and Non-Destructive Testing" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "423" , "Casting, Welding, Heat Treating, and Non-Destructive Testing" , "http://acad.io/schema#Lab" ,
 "CHEM" , "312" , "Intermediate Analytical Chemistry" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "312" , "Intermediate Analytical Chemistry" , "http://acad.io/schema#Lab" ,
 "FINA" , "408" , "Building & Testing Trading Systems Using Technical Analysis" , "http://acad.io/schema#Lecture" ,
 "COMP" , "426" , "Multicore Programming" , "http://acad.io/schema#Lecture" ,
 "COMP" , "426" , "Multicore Programming" , "http://acad.io/schema#Lab" ,
 "COEN" , "311" , "Computer Organization and Software" , "http://acad.io/schema#Lecture" ,
 "COEN" , "311" , "Computer Organization and Software" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "311" , "Computer Organization and Software" , "http://acad.io/schema#Lab" ,
 "ACCO" , "430" , "Advanced Mgmt Accounting" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "227" , "Laboratory Studies in Biodiversity" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "227" , "Laboratory Studies in Biodiversity" , "http://acad.io/schema#Lab" ,
 "BIOL" , "354" , "Behavioural Ecology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "354" , "Behavioural Ecology" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "452" , "Heat Transfer II" , "http://acad.io/schema#Lecture" ,
 "MECH" , "452" , "Heat Transfer II" , "http://acad.io/schema#Lab" ,
 "ENGL" , "225" , "Introductory Creative Writing: Poetry" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "http://acad.io/schema#Lecture" ,
 "ETEC" , "650" , "Fundamentals of Instructional Design" , "http://acad.io/schema#Lecture" ,
 "ETEC" , "650" , "Fundamentals of Instructional Design" , "http://acad.io/schema#Lab" ,
 "MECH" , "7511" , "Vehicle Vibration and Control" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "423" , "Introduction to Analog VLSI" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "423" , "Introduction to Analog VLSI" , "http://acad.io/schema#Lab" ,
 "MECH" , "6441" , "Stress Analysis in Mechanical Design" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6240" , "Executive Communication" , "http://acad.io/schema#Lecture" ,
 "MAST" , "677" , "Time Series" , "http://acad.io/schema#Lecture" ,
 "ESTU" , "670" , "Adult Education as a Field of Study" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6331" , "Advanced Game Development" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6331" , "Advanced Game Development" , "http://acad.io/schema#Lab" ,
 "INSE" , "7110" , "Value Added Service Engineering in Next Generation Networks" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6411" , "Product Design Theory and Methodology" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "686" , "Projet de mémoire" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6351" , "Modal Analysis of Mechanical Systems" , "http://acad.io/schema#Lecture" ,
 "ARTX" , "399" , "Special Topics in Contemporary Studio Arts Practice" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6501" , "Advanced Materials" , "http://acad.io/schema#Lecture" ,
 "ANTH" , "695" , "Essay" , "http://acad.io/schema#Lecture" ,
 "MSCA" , "632" , "Corporate Governance and Executive Compensation" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "382" , "Water Resources Engineering" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "382" , "Water Resources Engineering" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "382" , "Water Resources Engineering" , "http://acad.io/schema#Lab" ,
 "LOYC" , "205" , "Introduction to Sustainability Studies (also listed as BIOL 205)" , "http://acad.io/schema#Lecture" ,
 "LOYC" , "205" , "Introduction to Sustainability Studies (also listed as BIOL 205)" , "http://acad.io/schema#Tutorial" ,
 "AHSC" , "350" , "Leisure Education" , "http://acad.io/schema#Lecture" ,
 "COEN" , "390" , "Computer Engineering Product Design Project" , "http://acad.io/schema#Lecture" ,
 "COEN" , "390" , "Computer Engineering Product Design Project" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "7871" , "Construction Equipment Management" , "http://acad.io/schema#Lecture" ,
 "BTM" , "440" , "Business Information Systems’ Risks, Security & Audit" , "http://acad.io/schema#Lecture" ,
 "COMP" , "5481" , "Programming and Problem Solving" , "http://acad.io/schema#Lecture" ,
 "COMP" , "5481" , "Programming and Problem Solving" , "http://acad.io/schema#Tutorial" ,
 "COMP" , "5481" , "Programming and Problem Solving" , "http://acad.io/schema#Lab" ,
 "THEO" , "460" , "Honours Essay" , "http://acad.io/schema#Tutorial" ,
 "FTRA" , "416" , "Informatique et traduction" , "http://acad.io/schema#Lecture" ,
 "ECON" , "683" , "Applied Econometrics: Microeconometrics" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "452" , "Traduction automatique (TA) et traduction assistée par ordinateur (TAO)" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "7901" , "Environmental Engineering Research Project" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "476" , "Thermal Analysis of Buildings" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "476" , "Thermal Analysis of Buildings" , "http://acad.io/schema#Tutorial" ,
 "ADED" , "345" , "Evaluating Adult Learning Projects" , "http://acad.io/schema#Lecture" ,
 "COMP" , "208" , "Computer Science Industrial Experience Reflective Learning II" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "645" , "Applied Field Project II" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6571" , "Project Management" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "632" , "Creativity & Innovation" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "8901" , "Master of Applied Science Research and Thesis" , "http://acad.io/schema#Lecture" ,
 "APLI" , "644" , "Technology in Language Teaching" , "http://acad.io/schema#Lecture" ,
 "ACTU" , "493" , "Honours Project in Actuarial Mathematics" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6601" , "Testing and Evaluation of Polymer Composite Materials and Structures" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6141" , "Heat Exchanger Design" , "http://acad.io/schema#Lecture" ,
 "COMS" , "493" , "Communication Media: Advanced Topics" , "http://acad.io/schema#Lecture" ,
 "COMS" , "493" , "Communication Media: Advanced Topics" , "http://acad.io/schema#Lab" ,
 "INSE" , "6150" , "Security Evaluation Methodologies" , "http://acad.io/schema#Lecture" ,
 "INDU" , "6131" , "Graph Theory with System Applications" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "394" , "Experimental Atomic Physics" , "http://acad.io/schema#Lab" ,
 "PSYC" , "851" , "Teaching of Laboratory Techniques" , "http://acad.io/schema#Lecture" ,
 "COMS" , "324" , "Communication Analysis of Environment" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "459" , "Aquatic Ecology" , "http://acad.io/schema#Lecture" ,
 "CATA" , "441" , "Concepts in Manual Therapy" , "http://acad.io/schema#Lecture" ,
 "CATA" , "441" , "Concepts in Manual Therapy" , "http://acad.io/schema#Lab" ,
 "CHEM" , "324" , "Organic Chemistry III: Organic Reactions" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "324" , "Organic Chemistry III: Organic Reactions" , "http://acad.io/schema#Lab" ,
 "TESL" , "341" , "Language acquisition" , "http://acad.io/schema#Lecture" ,
 "FINA" , "411" , "Portfolio Management" , "http://acad.io/schema#Lecture" ,
 "MBA" , "643" , "Managerial Analytics" , "http://acad.io/schema#Lecture" ,
 "MANA" , "447" , "Leadership & Motivation" , "http://acad.io/schema#Lecture" ,
 "MARK" , "301" , "Marketing Management II" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6511" , "Mechanical Forming of Metals" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "291" , "Experimental Mechanics I" , "http://acad.io/schema#Lab" ,
 "ELEC" , "435" , "Electromechanical Energy Conversion Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "435" , "Electromechanical Energy Conversion Systems" , "http://acad.io/schema#Lab" ,
 "GIIM" , "637" , "Strategic Management" , "http://acad.io/schema#Lecture" ,
 "COEN" , "7741" , "Advanced Computer Architecture" , "http://acad.io/schema#Lecture" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC7" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC8" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/schema#Lecture" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC1" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC3" ,
 "COMP" , "474" , "Intelligent Systems" , "http://localhost:3030/acad/COURSES/COMP474/Outline/course_outline_comp474_6741_w2021.pdf" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC4" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC6" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC9" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC5" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/schema#Lab" ,
 "COMP" , "474" , "Intelligent Systems" , "http://acad.io/data#COMP474-LEC2" ,
 "CATA" , "437" , "Assessment of the Hip, Spine and Pelvis" , "http://acad.io/schema#Lecture" ,
 "CATA" , "437" , "Assessment of the Hip, Spine and Pelvis" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6141" , "Wireless Communications" , "http://acad.io/schema#Lecture" ,
 "URBS" , "300" , "Neighbourhood and Community Planning" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "455" , "Physical Activity, Health and Aging" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "675" , "Introduction to Open Systems Theory" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "390" , "Civil Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "390" , "Civil Engineering Design Project" , "http://acad.io/schema#Lab" ,
 "ENGR" , "201" , "Professional Practice and Responsibility" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "201" , "Professional Practice and Responsibility" , "http://acad.io/schema#Tutorial" ,
 "SOCI" , "415" , "Field Research" , "http://acad.io/schema#Lecture" ,
 "INDU" , "6411" , "Human Factors Engineering" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6771" , "Driverless Ground Vehicles" , "http://acad.io/schema#Lecture" ,
 "MARK" , "485" , "Business to Business Marketing" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "7841" , "Information Technology Applications in Construction" , "http://acad.io/schema#Lecture" ,
 "TESL" , "488" , "Internship Seminar" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6261" , "Optical Devices for High-Speed Communications" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "485" , "Rwanda Field School in Engineering and Sustainable Development" , "http://acad.io/schema#Lecture" ,
 "MECH" , "473" , "Control System Design" , "http://acad.io/schema#Lecture" ,
 "MECH" , "473" , "Control System Design" , "http://acad.io/schema#Lab" ,
 "INDU" , "6311" , "Discrete System Simulation" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6661" , "Hygrothermal Performance of the Building Envelope" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6871" , "Fiber-Optic Communication Systems and Networks" , "http://acad.io/schema#Lecture" ,
 "COEN" , "6711" , "Microprocessors and Their Applications" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6610" , "Cybercrime Investigations" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6061" , "Structural Health Monitoring" , "http://acad.io/schema#Lecture" ,
 "AERO" , "480" , "Flight Control Systems" , "http://acad.io/schema#Lecture" ,
 "AERO" , "480" , "Flight Control Systems" , "http://acad.io/schema#Lab" ,
 "CHEM" , "477" , "Advanced Laboratory in Biochemistry" , "http://acad.io/schema#Tutorial" ,
 "CHEM" , "477" , "Advanced Laboratory in Biochemistry" , "http://acad.io/schema#Lab" ,
 "CIVI" , "6441" , "Traffic Engineering" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "361" , "Inclusive Practices in Early Childhood Settings" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "465" , "Water Pollution and Control" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "465" , "Water Pollution and Control" , "http://acad.io/schema#Lab" ,
 "INSE" , "6180" , "Security and Privacy Implications of Data Mining" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "470" , "Basic Human Relations Laboratory" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6230" , "Total Quality Project Management" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "443" , "Community Development I" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "258" , "Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "258" , "Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise" , "http://acad.io/schema#Lab" ,
 "ENGL" , "415" , "Literary Production: Curating and Archiving the Literary Event" , "http://acad.io/schema#Lecture" ,
 "MECH" , "463" , "Fluid Power Control" , "http://acad.io/schema#Lecture" ,
 "MECH" , "463" , "Fluid Power Control" , "http://acad.io/schema#Lab" ,
 "INSE" , "6650" , "Trusted Computing" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "670" , "Scientific Communication" , "http://acad.io/schema#Lecture" ,
 "TESL" , "488" , "Internship Seminar" , "http://acad.io/schema#Lecture" ,
 "COMP" , "376" , "Introduction to Game Development" , "http://acad.io/schema#Lecture" ,
 "COMP" , "376" , "Introduction to Game Development" , "http://acad.io/schema#Lab" ,
 "FRAA" , "532" , "Écriture pour le Web" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "515" , "Biotechnology and Genomics Laboratory" , "http://acad.io/schema#Tutorial" ,
 "BIOL" , "515" , "Biotechnology and Genomics Laboratory" , "http://acad.io/schema#Lab" ,
 "COMS" , "376" , "Communication Media: Sound II" , "http://acad.io/schema#Lecture" ,
 "COMS" , "376" , "Communication Media: Sound II" , "http://acad.io/schema#Lab" ,
 "COMP" , "5461" , "Operating Systems" , "http://acad.io/schema#Lecture" ,
 "COMP" , "5461" , "Operating Systems" , "http://acad.io/schema#Lab" ,
 "ELEC" , "372" , "Fundamentals of Control Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "372" , "Fundamentals of Control Systems" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "372" , "Fundamentals of Control Systems" , "http://acad.io/schema#Lab" ,
 "SCPA" , "510" , "Projet en DÉC. Partie I" , "http://acad.io/schema#Lecture" ,
 "FLIT" , "454" , "Histoire du livre et de l’édition" , "http://acad.io/schema#Lecture" ,
 "FLIT" , "498" , "Étude d’un sujet particulier" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "631" , "Initiation à la traduction générale Co-listé : FTRA 531" , "http://acad.io/schema#Lecture" ,
 "INDU" , "6321" , "Introduction to Six Sigma" , "http://acad.io/schema#Lecture" ,
 "MARK" , "486" , "Product Innovation and Stratgey" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6051" , "Process Dynamics and Control" , "http://acad.io/schema#Lecture" ,
 "FRAA" , "598" , "Étude avancée d’un sujet particulier" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "632" , "Initiation à la traduction générale Co-listé : FTRA 532" , "http://acad.io/schema#Lecture" ,
 "FLIT" , "693" , "Mémoire incluant une réalisation médiatique" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "453" , "Design of Reinforced Concrete Structures" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "453" , "Design of Reinforced Concrete Structures" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "453" , "Design of Reinforced Concrete Structures" , "http://acad.io/schema#Lab" ,
 "ELEC" , "463" , "Telecommunication Network" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "463" , "Telecommunication Network" , "http://acad.io/schema#Lab" ,
 "AERO" , "490" , "Capstone Aerospace Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6331" , "Hydraulic Engineering" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "706" , "Assessment Practicum I" , "http://acad.io/schema#Lab" ,
 "FTRA" , "633" , "Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533" , "http://acad.io/schema#Lecture" ,
 "COMP" , "5361" , "Discrete Structures and Formal Languages" , "http://acad.io/schema#Lecture" ,
 "COMP" , "5361" , "Discrete Structures and Formal Languages" , "http://acad.io/schema#Lab" ,
 "MECH" , "6621" , "Microprocessors and Applications" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "438" , "Industrial Electrical Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "438" , "Industrial Electrical Systems" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6281" , "Principles of Solid State Nanodevices" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "387" , "Directed Research in Psychology" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "321" , "Properties and Failure of Materials" , "http://acad.io/schema#Lecture" ,
 "MECH" , "321" , "Properties and Failure of Materials" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "321" , "Properties and Failure of Materials" , "http://acad.io/schema#Lab" ,
 "EMBA" , "621" , "Information Technology & Analytics" , "http://acad.io/schema#Lecture" ,
 "MECH" , "412" , "Computer-Aided Mechanical Design" , "http://acad.io/schema#Lecture" ,
 "MECH" , "412" , "Computer-Aided Mechanical Design" , "http://acad.io/schema#Lab" ,
 "COMS" , "586" , "Directed Study in Communication Studies II" , "http://acad.io/schema#Tutorial" ,
 "AHSC" , "436" , "Internship in Youth and Family Work" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "491" , "Software Engineering Project" , "http://acad.io/schema#Lecture" ,
 "FRAN" , "211" , "French Language: Elementary" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6691" , "Greenhouse Gases and Control" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "436" , "Protection of Power Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "436" , "Protection of Power Systems" , "http://acad.io/schema#Lab" ,
 "AERO" , "201" , "Introduction to Flight and Aerospace Systems" , "http://acad.io/schema#Lecture" ,
 "AERO" , "201" , "Introduction to Flight and Aerospace Systems" , "http://acad.io/schema#Lab" ,
 "AHSC" , "527" , "Advanced Youth Work Intervention: Case Management and Supervision" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "375" , "Biochemistry II" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "375" , "Biochemistry II" , "http://acad.io/schema#Lab" ,
 "MARK" , "462" , "Environment of World Business" , "http://acad.io/schema#Lecture" ,
 "COEN" , "6331" , "Neural Networks" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "655" , "Master’s Research and Thesis" , "http://acad.io/schema#Lecture" ,
 "STAT" , "461" , "Statistical Simulation" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "302" , "Working in Childhood Settings: Leadership and Organizational Issues" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6241" , "Operational Performance of Aircraft" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "610" , "Group Process Intervention" , "http://acad.io/schema#Lecture" ,
 "ANTH" , "692" , "Thesis" , "http://acad.io/schema#Lecture" ,
 "COMP" , "479" , "Information Retrieval and Web Search" , "http://acad.io/schema#Lecture" ,
 "COMP" , "479" , "Information Retrieval and Web Search" , "http://acad.io/schema#Lab" ,
 "COMP" , "371" , "Computer Graphics" , "http://acad.io/schema#Lecture" ,
 "COMP" , "371" , "Computer Graphics" , "http://acad.io/schema#Lab" ,
 "COMP" , "6421" , "Compiler Design" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6421" , "Compiler Design" , "http://acad.io/schema#Lab" ,
 "ETEC" , "671" , "Administering Educational Technology Groups" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6111" , "Computer-Aided Building Operation" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6701" , "Building Environment" , "http://acad.io/schema#Lecture" ,
 "MANA" , "300" , "Entrepreneurship: Launching Your Business" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "422" , "Embedded Systems and Software" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "422" , "Embedded Systems and Software" , "http://acad.io/schema#Tutorial" ,
 "SOEN" , "422" , "Embedded Systems and Software" , "http://acad.io/schema#Lab" ,
 "EDUC" , "460" , "Child Studies Field Experience: Child and Youth" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "235" , "Physical Chemistry II: Kinetics of Chemical Reactions" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "235" , "Physical Chemistry II: Kinetics of Chemical Reactions" , "http://acad.io/schema#Lab" ,
 "MECH" , "6321" , "Optimum Design of Mechanical Systems" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "614" , "Modern Aspects of Practical Mass Spectrometry" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6461" , "Computer Networks and Protocols" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6461" , "Computer Networks and Protocols" , "http://acad.io/schema#Lab" ,
 "MECH" , "6171" , "Turbomachinery and Propulsion" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "322" , "Fundamentals of Child‑ and Youth‑Care Work" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "311" , "Research Methods and Designs II" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "311" , "Research Methods and Designs II" , "http://acad.io/schema#Lab" ,
 "SPAN" , "683" , "Research Paper II" , "http://acad.io/schema#Lecture" ,
 "HIST" , "380" , "History and Digital Media" , "http://acad.io/schema#Lecture" ,
 "MPER" , "421" , "Chamber Ensemble III" , "http://acad.io/schema#Studio" ,
 "MARK" , "451" , "Marketing of Services" , "http://acad.io/schema#Lecture" ,
 "MECH" , "368" , "Electronics for Mechanical Engineers" , "http://acad.io/schema#Lecture" ,
 "MECH" , "368" , "Electronics for Mechanical Engineers" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "368" , "Electronics for Mechanical Engineers" , "http://acad.io/schema#Lab" ,
 "EXCI" , "323" , "Research Experience in Exercise Science" , "http://acad.io/schema#Lecture" ,
 "MARK" , "454" , "Personal Selling" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "226" , "Introductory Experimental Waves and Modern Physics" , "http://acad.io/schema#Lab" ,
 "GEOL" , "210" , "Introduction to the Earth" , "http://acad.io/schema#Lecture" ,
 "GEOL" , "210" , "Introduction to the Earth" , "http://acad.io/schema#Lab" ,
